,Unnamed: 0,contributor,hl_num,image_src,isbn,medium,price,product_link,series,title,voicing,series.1,publisher,format,high_quality_image_link,details
0,0,"Composers: Nancy Faber,Randall Faber",420242,https://halleonard-common.s3.amazonaws.com/item_gif/00420242.gif,9.78162E+12,Softcover Media Online,$19.99 (US),https://www.halleonard.com/product/420242/adult-piano-adventures-all-in-one-piano-course-book-1?subsiteid=1,Faber Piano Adventures®,Adult Piano Adventures All-in-One Piano Course Book 1,,, Faber Piano Adventures, Softcover Media Online,,"Series:Faber Piano Adventures®Publisher: Faber Piano AdventuresFormat: Softcover Media OnlineComposers:                                                                       Nancy Faber,                                                                                                                  Randall FaberPiano Level: Primer - Level 2BAdult Piano Adventures enables the adult beginner to play music for pleasure while developing musical understanding. This comprehensive “All-In-One” book includes lessons, technique, and theory in a single volume for ease of use. Book 1 presents the fundamentals of music notation, chord playing, and musical form. The redesigned layout improves information hierarchy, putting focus on key concepts and step-by-step learning. Online support is now included, with over two hours of instructional videos and audio accompaniment tracks that inspire rhythmic vitality and artistic expression. Songs include: Amazing Grace • The Can-Can • Catch a Falling Star • Danny Boy • Eine Kleine Nachtmusik • The Entertainer • Greensleeves • The Lion Sleeps Tonight • and more!View Helpful Introductory Videos HereSong ListPrint    Catch A Falling Star    The Lion Sleeps TonightInstrumentationPiano/KeyboardSample Pages $19.99(US)Inventory #HL 00420242ISBN: 9781616773021UPC: 674398208876Publisher Code: FF1302Width: 9.0""Length: 12.0""184 pagesPrices and availability subject to change without notice."
1,1,"Composers: Nancy Faber,Randall Faber",420246,https://halleonard-common.s3.amazonaws.com/item_gif/00420246.gif,9.78162E+12,Softcover Audio Online,$19.99 (US),https://www.halleonard.com/product/420246/adult-piano-adventures-all-in-one-piano-course-book-2?subsiteid=1,Faber Piano Adventures®,Adult Piano Adventures All-in-One Piano Course Book 2,,, Faber Piano Adventures, Softcover Audio Online,,"Series:Faber Piano Adventures®Publisher: Faber Piano AdventuresFormat: Softcover Audio OnlineComposers:                                                                       Nancy Faber,                                                                                                                  Randall FaberPiano Level: 3A-3BWhether the adult student has just completed Book 1 or is returning to the piano after formerly playing, great pieces await in Adult Piano Adventures Book 2. This convenient “All-In-One” volume offers carefully sequenced instruction in note reading, music theory and piano technique. Its appealing new design clearly introduces concepts such as triad inversions, 3/8 and 6/8 time signatures, 16th-note rhythms, connected pedaling, and major and minor scales, plus a special focus on chord playing with lead sheets of familiar songs. Online support now includes hours of videos and audio accompaniment tracks that inspire rhythmic vitality and artistic expression. Song highlights: 'O Sole Mio! • Sloop John B • Brahms' Lullaby • The Lion Sleeps Tonight • Hava Nagila • Give My Regards to Broadway • Scarborough Fair • Malaguena • Pachelbel's Canon • and more.View Helpful Introductory Videos HereInstrumentationPiano/KeyboardSample Pages $19.99(US)Inventory #HL 00420246ISBN: 9781616773342UPC: 674398211166Publisher Code: FF1334Width: 9.25""Length: 12.0""200 pagesPrices and availability subject to change without notice."
2,2,John Wesley,645335,https://halleonard-common.s3.amazonaws.com/item_gif/00645335.gif,9.78194E+12,Softcover,$6.99 (US),https://www.halleonard.com/product/645335/fingerpower--level-one?subsiteid=1,Educational Piano,Fingerpower – Level One,,, Schaum Publications, Softcover,,"Series:Educational PianoPublisher: Schaum PublicationsFormat: SoftcoverAuthor:                                                                       John WesleySchaum's #1 selling technic book! The Fingerpower series provides short, progressive exercises to develop strength in all ten fingers.• Effective technic for students: easy to learn and efficient practice for today's busy students• Versatility for the teacher: easy to teach and use with students of all ages• Supplements ALL piano and keyboard method books!Inventory #HL 00645335ISBN: 9781936098255UPC: 008148004218Publisher Code: 0421Width: 9.0""Length: 12.0""Run time: 2:00:0024 pagesPrices and availability subject to change without notice."
3,3,Editor: John Schaum,645336,https://halleonard-common.s3.amazonaws.com/item_gif/00645336.gif,9.78194E+12,Softcover,$6.99 (US),https://www.halleonard.com/product/645336/fingerpower--level-2?subsiteid=1,Educational Piano,Fingerpower® – Level 2,,, Schaum Publications, Softcover,,"Series:Educational PianoPublisher: Schaum PublicationsFormat: SoftcoverEditor:                                                                       John SchaumSchaum's #1 selling technic book! The Fingerpower series provides short, progressive exercises to develop strength in all ten fingers.• Effective technic for students: easy to learn and efficient practice for today's busy students• Versatility for the teacher: easy to teach and use with students of all ages• Supplements ALL piano and keyboard method books!Inventory #HL 00645336ISBN: 9781936098170UPC: 008148004225Publisher Code: 0422Width: 9.0""Length: 12.0""Run time: 2:00:0024 pagesPrices and availability subject to change without notice."
4,4,Billie Eilish,295684,https://halleonard-common.s3.amazonaws.com/item_gif/00295684.gif,9.78154E+12,Softcover,$19.99 (US),https://www.halleonard.com/product/295684/billie-eilish--when-we-all-fall-asleep-where-do-we-go?subsiteid=1,Piano/Vocal/Guitar Artist Songbook,"Billie Eilish – When We All Fall Asleep, Where Do We Go?",,,, Softcover,,"Series:Piano/Vocal/Guitar Artist SongbookFormat: SoftcoverArtist:                                                                       Billie EilishThis debut studio album by this teenage newcomer to the music scene reaching the top of the Billboard® 200 album charts. Our matching folio features 13 tracks: All the Good Girls Go to Hell • Bad Guy • Bury a Friend • 8 • Goodbye • I Love You • ilomilo • Listen Before I Go • My Strange Addiction • When the Party's Over • Wish You Were Gay • Xanny • You Should See Me in a Crown.Song ListPrint    All The Good Girls Go To Hell    Bad Guy    Bury A Friend    8    Goodbye    I Love You    Ilomilo    Listen Before I Go    My Strange Addiction    When The Party's Over    Wish You Were Gay    Xanny    You Should See Me In A CrownInstrumentationPiano/Vocal/GuitarSample Pages $19.99(US)Inventory #HL 00295684ISBN: 9781540056528UPC: 888680948641Width: 9.0""Length: 12.0""74 pagesPrices and availability subject to change without notice."
5,5,"Composers: Nancy Faber,Randall Faber",420243,https://halleonard-common.s3.amazonaws.com/item_gif/00420243.gif,9.78162E+12,Softcover with DVD,$26.99 (US),https://www.halleonard.com/product/420243/adult-piano-adventures-all-in-one-lesson-book-1?subsiteid=1,Faber Piano Adventures®,Adult Piano Adventures All-in-One Lesson Book 1,,, Faber Piano Adventures, Softcover with DVD,,"Series:Faber Piano Adventures®Publisher: Faber Piano AdventuresFormat: Softcover with DVDComposers:                                                                       Nancy Faber,                                                                                                                  Randall FaberPiano Level: Primer - Level 2BAdult Piano Adventures enables the adult beginner to play music for pleasure while developing musical understanding. This comprehensive “All-in-One” book includes lessons, technique, and theory in a single volume for ease of use. Book 1 presents the fundamentals of music notation, chord playing, and musical form. The redesigned layout improves information hierarchy, putting focus on key concepts and step-by-step learning. Audio and video files are included on CD and DVD at the back of this perfect-bound book, or may be accessed online–over two hours of instructional videos and accompaniment tracks that inspire rhythmic vitality and artistic expression. Songs include: Amazing Grace • The Can-Can • Catch a Falling Star • Danny Boy • Eine Kleine Nachtmusik • The Entertainer • Greensleeves • The Lion Sleeps Tonight • and more!View Helpful Introductory Videos HereSong ListPrint    African Celebration    Alexander March       (Czerny C)    All Through The Night    Amazing Grace    Banuwa    Camptown Races    Can Can    Carnival Of Venice    Catch A Falling Star    Clock Tower Bells    Danny Boy    Eine Kleine    English Folk Song    The Entertainer    For He's A Jolly Good Fellow    Gavotte   (Handel)    Greensleeves    Home On The Range    Hungarian Dance No 6    The Ice Skaters    Jingle Bells    Lightly Row    The Lion Sleeps Tonight    A Little Night Music    Marriage Of Figaro Overture    May Dance    Merrily We Roll Along    The Midnight Ride    Minuet Fr.French Suite  (Bach)    Minuet In G    Morning    Musette    New World Symphony    Nobody Knows The Trouble I've Seen    Ode To Joy    Polovtsian Dance Theme    Procession                       (May B)    Promenade    Reveille    Rise And Shine    Row, Row, Row Your Boat    Russian Folksong           (Tchaikovsky)    The Shepherd's Song    Shining Stars    Simple Gifts    The Sleeping Beauty Waltz    Sonata In A Major, K. 331    The Surprise Symphony    Taps    Trumpet Concerto in E-flat Major, First Movement Excerpt    Trumpet Voluntary    Turkey In The Straw    Vive La France    When The Saints Go Marching In    Yankee DoodleInstrumentationPiano/KeyboardSample Pages $26.99(US)Inventory #HL 00420243ISBN: 9781616773014UPC: 674398211043Publisher Code: FF1302CDWidth: 9.0""Length: 12.0""184 pagesPrices and availability subject to change without notice."
6,6,Franz Schulz,50254710,https://halleonard-common.s3.amazonaws.com/item_gif/50254710.gif,9.7815E+12,,$5.99 (US),https://www.halleonard.com/product/50254710/scales-and-chords-in-all-the-major-and-minor-keys?subsiteid=1,Schirmer Library of Classics,Scales and Chords in all the Major and Minor Keys,,," G. Schirmer, Inc.",,,"Series:Schirmer Library of ClassicsPublisher: G. Schirmer, Inc.Composer:                                                                       Franz SchulzInstrumentationPiano$5.99(US)Inventory #HL 50254710ISBN: 9781495072390UPC: 073999876635Publisher Code: LB392Width: 9.0""Length: 12.0""12 pagesPrices and availability subject to change without notice."
7,7,Various,691143,https://halleonard-common.s3.amazonaws.com/item_gif/00691143.gif,9.78146E+12,"Softcover
				 - TAB",$39.99 (US),https://www.halleonard.com/product/691143/guitar-worlds-50-greatest-rock-songs-of-all-time?subsiteid=1,Guitar Recorded Versions,Guitar World's 50 Greatest Rock Songs of All Time,,,, Softcover – TAB,,"Series:Guitar Recorded VersionsFormat: Softcover – TABArtist:                                                                                          Various                                                       The name says it all: the 50 best as decided by the experts at Guitar World magazine transcribed note-for-note. Includes: All Along the Watchtower • All Day and All of the Night • Barracuda • Bohemian Rhapsody • Carry on Wayward Son • Crazy Train • Detroit Rock City • Enter Sandman • Free Bird • Highway to Hell • Hotel California • Iron Man • Layla • Misirlou • Pride and Joy • School's Out • Smells like Teen Spirit • Smoke on the Water • Sweet Child O' Mine • Tush • Welcome to the Jungle • You Really Got Me • and more. 512 pages!Song ListPrint    Ain't Talkin' 'Bout Love    All Along The Watchtower    All Day And All Of The Night    Aqualung    Back In Black    Barracuda    Beat It    Blitzkrieg Bop    Bohemian Rhapsody    Born To Be Wild    The Boys Are Back In Town    Carry On Wayward Son    Comfortably Numb    Crazy Train    Cross Road Blues (Crossroads)    Day Tripper    Detroit Rock City    Dr. Feelgood    Enter Sandman    Free Bird    Funk #49    Highway To Hell    Hotel California    Iron Man    Jailhouse Rock    Layla    Limelight    Misirlou    Peace Of Mind    Photograph    Plush    Pride And Joy    Purple Haze    Rock Around The Clock    Run To The Hills    School's Out    Smells Like Teen Spirit    Smoke On The Water    Stairway To Heaven    Suite: Judy Blue Eyes    Sultans Of Swing    Surrender    Sweet Child O' Mine    Tush    Walk This Way    Welcome To The Jungle    Whipping Post    Whole Lotta Love    Won't Get Fooled Again    You Really Got MeInstrumentationGuitarSample Pages $39.99(US)Inventory #HL 00691143ISBN: 9781458411181UPC: 884088590192Width: 9.0""Length: 12.0""514 pagesPrices and availability subject to change without notice."
8,8,Billie Eilish,323126,https://halleonard-common.s3.amazonaws.com/item_gif/00323126.gif,9.78154E+12,Softcover,$19.99 (US),https://www.halleonard.com/product/323126/billie-eilish--when-we-all-fall-asleep-where-do-we-go?subsiteid=1,Easy Piano Personality,"Billie Eilish – When We All Fall Asleep, Where Do We Go?",,,, Softcover,,"This item is temporarily out of stock in the Hal Leonard warehouse, but may be available from your favorite local music store or online retailer.Series:Easy Piano PersonalityFormat: SoftcoverArtist:                                                                       Billie EilishThis debut studio album from Eilish reached the top of the Billboard® 200 album charts. Our matching folio features 13 tracks arranged for easy piano with lyrics: All the Good Girls Go to Hell • Bad Guy • Bury a Friend • 8 • Goodbye • I Love You • ilomilo • Listen Before I Go • My Strange Addiction • When the Party's Over • Wish You Were Gay • Xanny • You Should See Me in a Crown.Song ListPrint    All The Good Girls Go To Hell    Bad Guy    Bury A Friend    8    Goodbye    I Love You    Ilomilo    Listen Before I Go    My Strange Addiction    When The Party's Over    Wish You Were Gay    Xanny    You Should See Me In A CrownInventory #HL 00323126ISBN: 9781540070401UPC: 888680977825Width: 9.0""Length: 12.0""72 pagesPrices and availability subject to change without notice."
9,9,"Authors: Barbara Kreader,Mona Rejino,Fred Kern,Phillip Keveren",296761,https://halleonard-common.s3.amazonaws.com/item_gif/00296761.gif,9.78142E+12,Softcover Audio Online,$10.99 (US),https://www.halleonard.com/product/296761/all-in-one-piano-lessons-book-a?subsiteid=1,Educational Piano Library,All-in-One Piano Lessons Book A,,,, Softcover Audio Online,,"Series:Educational Piano LibraryFormat: Softcover Audio OnlineAuthors:                                                                       Barbara Kreader,                                                                                                                  Phillip Keveren,                                                                                                                  Fred Kern,                                                                                                                  Mona RejinoPiano Level: Book 1All-In-One Piano Lessons Book A combines selected pages from the Piano Lessons, Technique, Solos, Theory Workbook, and Practice Games into one easy-to-manage book. A perfect choice for beginning group or private instruction, this book with online recorded accompaniments offers students a variety of styles and moods, and includes the “best ever” teacher accompaniments. Upon completion of the All-In-One Piano Lessons Book A, students will be ready to continue into the All-In-One Piano Lessons Book B. After completing Books A & B, students are ready to progress to Level 2 of the Hal Leonard Student Piano Library. 80 pages. The online audio files can be downloaded or streamed for maximum versatility.InstrumentationPianoSample Pages & Audio$10.99(US)Inventory #HL 00296761ISBN: 9781423461111UPC: 884088269210Width: 9.0""Length: 12.0""80 pagesPrices and availability subject to change without notice."
