Unnamed: 0,contributor,hl_num,image_src,isbn,medium,price,product_link,series,title,voicing,series.1,publisher,format,high_quality_image_link,details
0,,140662,https://halleonard-common.s3.amazonaws.com/item_gif/00140662.gif,,General Merchandise,$461.99 (US),https://www.halleonard.com/product/140662/concert-288-all-in-one?subsiteid=68,Samson/Hartke Wireless,Concert 288 All-in-One,,,, General Merchandise,https://halleonard-closerlook.s3.amazonaws.com/00140662/00140662z.jpg,"Series:Samson/Hartke WirelessManufacturer: Samson AudioFormat: General MerchandiseSamson takes the worry out of wireless with the Concert 288 All-in-One Wireless System. Offering easy setup, flawless operation and premium sound, it's the ideal high-performance UHF wireless solution for vocal performances, presentations, Q&A sessions, house of worship, educational applications and more where two users are needed.The dual-channel Concert 288 All-in-One allows for up to 24 systems (48 performers) to operate simultaneously (region dependent). The Concert 288 All-in-One gives both performers an impressive 300-foot range of wireless operation between the transmitters and receiver, making the system ideal for large stages and crowd participation. To ensure interference-free performance, the Concert 288 All-in-One features a true diversity design. If a drop out does occur, the receiver's tone key triggers an Auto Mute function to eliminate any background noise until the signal is restored.See More Info $461.99(US)Inventory #HL 00140662UPC: 809164214434Manufacturer Code: SWC288ALL-IWidth: 14.0""Length: 13.0""Prices and availability subject to change without notice."
1,,3715043,https://halleonard-common.s3.amazonaws.com/item_gif/03715043.gif,,Stringed Instruments,$179.99 (US),https://www.halleonard.com/product/3715043/lus-5-all-solid-mahogany-concert-neck-soprano-ukulele?subsiteid=68,Flight Ukuleles,LUS-5 All-Solid Mahogany Concert-Neck Soprano Ukulele,,,, Stringed Instruments,https://halleonard-coverimages.s3.amazonaws.com/wl/03715043-wl.jpg,"Series:Flight UkulelesManufacturer: FlightFormat: Stringed InstrumentsConcert neck soprano ukuleles are rare, but we would like them to become more recognized–they are a perfect combination of both worlds by merging the power of a soprano and the comfortable neck and scale of a concert. This vintage-looking model packs a punch with its all solid body, thin mahogany top and quality tuners.See More Info $179.99(US)Inventory #HL 03715043UPC: 888680971700Manufacturer Code: MUS-2Width: 24.75""Length: 9.25""Prices and availability subject to change without notice."
2,,3700526,https://halleonard-common.s3.amazonaws.com/item_gif/03700526.gif,,Drums,$65.60 (US),https://www.halleonard.com/product/3700526/lightweight-djembe-floor-stand-black-matte-fits-all-size-djembes?subsiteid=68,Remo Accessories,"Lightweight Djembe Floor Stand, Black Matte, Fits All Size Djembes",,,, Drums,https://halleonard-closerlook.s3.amazonaws.com/03700526/03700526z.jpg,"Series:Remo AccessoriesFormat: DrumsSee More Info $65.60(US)Inventory #HL 03700526UPC: 757242413548Manufacturer Code: DI-6110-00-Width: 14.5""Length: 14.5""Prices and availability subject to change without notice."
3,,140661,https://halleonard-common.s3.amazonaws.com/item_gif/00140661.gif,,General Merchandise,$461.99 (US),https://www.halleonard.com/product/140661/concert-288-all-in-one?subsiteid=68,Samson/Hartke Wireless,Concert 288 All-in-One,,,, General Merchandise,https://halleonard-closerlook.s3.amazonaws.com/00140661/00140662z.jpg,"Series:Samson/Hartke WirelessManufacturer: Samson AudioFormat: General MerchandiseSamson takes the worry out of wireless with the Concert 288 All-in-One Wireless System. Offering easy setup, flawless operation and premium sound, it's the ideal high-performance UHF wireless solution for vocal performances, presentations, Q&A sessions, house of worship, educational applications and more where two users are needed.The dual-channel Concert 288 All-in-One allows for up to 24 systems (48 performers) to operate simultaneously (region dependent). The Concert 288 All-in-One gives both performers an impressive 300-foot range of wireless operation between the transmitters and receiver, making the system ideal for large stages and crowd participation. To ensure interference-free performance, the Concert 288 All-in-One features a true diversity design. If a drop out does occur, the receiver's tone key triggers an Auto Mute function to eliminate any background noise until the signal is restored.See More Info $461.99(US)Inventory #HL 00140661UPC: 809164214427Manufacturer Code: SWC288ALL-HWidth: 14.0""Length: 13.0""Prices and availability subject to change without notice."
4,,788317,/images/default.svg,,MP3 Audio File,$1.99 (US),https://www.halleonard.com/product/788317/all-glory-laud-and-honor?subsiteid=68,Choral,"All Glory, Laud and Honor",,,, MP3 Audio File,/images/default.svg,Series:ChoralFormat: MP3 Audio File$1.99(US)Inventory #HL 00788317Prices and availability subject to change without notice.
5,,789008,/images/default.svg,,MP3 Audio File,$1.99 (US),https://www.halleonard.com/product/789008/all-is-well?subsiteid=68,Choral,All Is Well,,,, MP3 Audio File,/images/default.svg,Series:ChoralFormat: MP3 Audio File$1.99(US)Inventory #HL 00789008Prices and availability subject to change without notice.
6,,265670,/images/default.svg,,,$3.99 (US),https://www.halleonard.com/product/265670/all-my-loving?subsiteid=68,G-Plus Audio,All My Loving,,,,,/images/default.svg,"This item is temporarily out of stock in the Hal Leonard warehouse, but may be available from your favorite local music store or online retailer.Series:G-Plus Audio$3.99(US)Inventory #HL 00265670Prices and availability subject to change without notice."
7,,3715042,https://halleonard-common.s3.amazonaws.com/item_gif/03715042.gif,,Stringed Instruments,$169.99 (US),https://www.halleonard.com/product/3715042/lus-5-all-solid-mahogany-concert-neck-soprano-ukulele?subsiteid=68,Flight Ukuleles,LUS-5 All-Solid Mahogany Concert-Neck Soprano Ukulele,,,, Stringed Instruments,https://halleonard-closerlook.s3.amazonaws.com/03715042/03715042z.jpg,"Series:Flight UkulelesManufacturer: FlightFormat: Stringed InstrumentsConcert neck soprano ukuleles are rare, but we would like them to become more recognized – they are a perfect combination of both worlds by merging the power of a soprano and the comfortable neck and scale of a concert. This vintage-looking model packs a punch with its all solid body, thin mahogany top and quality tuners. Comes with bag.See More Info $169.99(US)Inventory #HL 03715042UPC: 888680971694Manufacturer Code: LUS-5Width: 26.25""Length: 11.75""Prices and availability subject to change without notice."
8,,230867,https://halleonard-common.s3.amazonaws.com/item_gif/00230867.gif,,General Merchandise,$119.00 (US),https://www.halleonard.com/product/230867/black-mounting-bar--for-all-mountable-percussion?subsiteid=68,Tycoon,Black Mounting Bar – For All Mountable Percussion,,,, General Merchandise,https://halleonard-closerlook.s3.amazonaws.com/00230867/00230867z.jpg,"Series:TycoonManufacturer: Tycoon PercussionFormat: General Merchandise• A larger, extended version of Tycoon's popular Multi-Percussion Rack• Features four 3/8″ diameter stainless steel mounting posts, two on each side for eight total mountable spots• Quickly and firmly mounts onto any drum or cymbal stand• An ideal addition to any percussionist or drummer's set upSee More Info $119.00(US)Inventory #HL 00230867UPC: 888680675486Manufacturer Code: TPMBWidth: 15.5""Length: 19.0""Prices and availability subject to change without notice."
9,,255049,/images/default.svg,,,$3.99 (US),https://www.halleonard.com/product/255049/all-apologies?subsiteid=68,G-Plus Audio,All Apologies,,,,,/images/default.svg,"This item is temporarily out of stock in the Hal Leonard warehouse, but may be available from your favorite local music store or online retailer.Series:G-Plus Audio$3.99(US)Inventory #HL 00255049Prices and availability subject to change without notice."
10,,788352,/images/default.svg,,MP3 Audio File,$1.99 (US),https://www.halleonard.com/product/788352/we-all-bow-down?subsiteid=68,Choral,We All Bow Down,,,, MP3 Audio File,/images/default.svg,Series:ChoralFormat: MP3 Audio File$1.99(US)Inventory #HL 00788352Prices and availability subject to change without notice.
11,Johannes Brahms,49001285,https://halleonard-common.s3.amazonaws.com/item_gif/99991994.gif,,,$3.50 (US),https://www.halleonard.com/product/49001285/all-mein-gedanken?subsiteid=68,Schott,All mein Gedanken,"
			SATB
			
		",, Schott,,https://halleonard-coverimages.s3.amazonaws.com/wl/99991994-wl.jpg,This is a special import item.  It may not be in stock in the U.S. but can be ordered on request by contacting a retailer of your choice. Price is subject to change. Additional shipping and handling charges apply. Find a retailer near you.Series:SchottPublisher: SchottSATBComposer:                                                                       Johannes Brahms$3.50(US)Inventory #HL 49001285Publisher Code: C449752 pagesPrices and availability subject to change without notice.
12,,267907,/images/default.svg,,,$3.99 (US),https://www.halleonard.com/product/267907/all-of-the-stars?subsiteid=68,G-Plus Audio,All Of The Stars,,,,,/images/default.svg,"This item is temporarily out of stock in the Hal Leonard warehouse, but may be available from your favorite local music store or online retailer.Series:G-Plus Audio$3.99(US)Inventory #HL 00267907Prices and availability subject to change without notice."
13,,254713,/images/default.svg,,,$3.99 (US),https://www.halleonard.com/product/254713/all-the-small-things?subsiteid=68,G-Plus Audio,All the Small Things,,,,,,
14,Bernhard Sekles,49002362,https://halleonard-common.s3.amazonaws.com/item_gif/99991994.gif,9.78E+12,,$27.99 (US),https://www.halleonard.com/product/49002362/music-dictation-exercises-all-keys?subsiteid=68,Schott,Music Dictation Exercises All Keys,,,,,,
15,,788927,/images/default.svg,,MP3 Audio File,$1.99 (US),https://www.halleonard.com/product/788927/i-can-do-all-things?subsiteid=68,Choral,I Can Do All Things,,,,,,
16,Joel McIver,335992,https://halleonard-common.s3.amazonaws.com/item_gif/00335992.gif,9.78E+12,Softcover,$19.95 (US),https://www.halleonard.com/product/335992/justice-for-all-the-truth-about-metallica?subsiteid=68,Omnibus Press,Justice for All: The Truth About Metallica,,,,,,
17,,788896,/images/default.svg,,MP3 Audio File,$1.99 (US),https://www.halleonard.com/product/788896/christ-is-come-all-is-well?subsiteid=68,Choral,Christ Is Come (All Is Well),,,,,,
18,,147091,https://halleonard-common.s3.amazonaws.com/item_gif/00147091.gif,,General Merchandise,$59.99 (US),https://www.halleonard.com/product/147091/survivor-all-terrain-for-ipad-mini?subsiteid=68,Griffin,Survivor All-Terrain for iPad Mini,,,,,,
19,,49005906,https://halleonard-common.s3.amazonaws.com/item_gif/99991994.gif,,,$22.99 (US),https://www.halleonard.com/product/49005906/spirituals-for-all-satbpf-vol-2?subsiteid=68,Schott,Spirituals For All Satb/pf Vol. 2,,,,,,
20,Paul Zoll,49005568,https://halleonard-common.s3.amazonaws.com/item_gif/99991994.gif,,,$20.99 (US),https://www.halleonard.com/product/49005568/lobt-den-herren-ihr-wesen-all-fs?subsiteid=68,Schott,Lobt Den Herren Ihr Wesen All F.s.,,,,,,
21,,49005905,https://halleonard-common.s3.amazonaws.com/item_gif/99991994.gif,,,$22.99 (US),https://www.halleonard.com/product/49005905/spirituals-for-all-satbpf-vol-1?subsiteid=68,Schott,Spirituals For All Satb/pf Vol. 1,"
			Score
			
		",,,,,
22,,49003988,https://halleonard-common.s3.amazonaws.com/item_gif/99991994.gif,,,$15.99 (US),https://www.halleonard.com/product/49003988/strauss-for-all-vn-part-only?subsiteid=68,Schott,Strauss For All Vn Part Only,"
			V
			
		",,,,,
23,,147084,https://halleonard-common.s3.amazonaws.com/item_gif/00147084.gif,,General Merchandise,$79.99 (US),https://www.halleonard.com/product/147084/survivor-all-terrain-for-ipad-2-ipad-3-and-ipad-4th-gen?subsiteid=68,Griffin,"Survivor All-Terrain for iPad 2, iPad 3 and iPad (4th gen)",,,,,,
24,"Authors: Blake Neely,Doug Downing",695407,https://halleonard-common.s3.amazonaws.com/item_gif/00695407.gif,9.78E+12,Softcover Audio Online,$7.99 (US),https://www.halleonard.com/product/695407/ifastitrack-harmonica-method--book-1?subsiteid=68,Fast Track Music Instruction,FastTrack Harmonica Method – Book 1,,,,,,
25,,262423,https://halleonard-common.s3.amazonaws.com/item_gif/00262423.gif,,General Merchandise,$69.99 (US),https://www.halleonard.com/product/262423/carlo-robelli-soprano-ukulele?subsiteid=68,Samson Instruments,Carlo Robelli Soprano Ukulele,,,,,,
26,,262420,https://halleonard-common.s3.amazonaws.com/item_gif/00262420.gif,,General Merchandise,$144.99 (US),https://www.halleonard.com/product/262420/carlo-robelli-acoustic-dreadnought-guitar?subsiteid=68,Samson Instruments,Carlo Robelli Acoustic Dreadnought Guitar,,,,,,
27,,262424,https://halleonard-common.s3.amazonaws.com/item_gif/00262424.gif,,General Merchandise,$169.99 (US),https://www.halleonard.com/product/262424/carlo-robelli-acousticelectric-guitar?subsiteid=68,Samson Instruments,Carlo Robelli Acoustic/Electric Guitar,,,,,,
28,,128978,https://halleonard-common.s3.amazonaws.com/item_gif/00128978.gif,,General Merchandise,$169.95 (US),https://www.halleonard.com/product/128978/chordbuddy-duck-commander-junior-guitar-pack-jr?subsiteid=68,Chord Buddy,ChordBuddy Duck Commander Junior Guitar Pack Jr.,,,,,,
29,,262422,https://halleonard-common.s3.amazonaws.com/item_gif/00262422.gif,,General Merchandise,$249.99 (US),https://www.halleonard.com/product/262422/carlo-robelli-travel-acoustic-guitar?subsiteid=68,Samson Instruments,Carlo Robelli Travel Acoustic Guitar,,,,,,
30,,265479,https://halleonard-common.s3.amazonaws.com/item_gif/00265479.gif,,General Merchandise,$199.80 (US),https://www.halleonard.com/product/265479/fret-butter-for-guitar?subsiteid=68,DMI Guitar Labs,Fret Butter for Guitar,,,,,,
31,,265480,https://halleonard-common.s3.amazonaws.com/item_gif/00265480.gif,,General Merchandise,$9.99 (US),https://www.halleonard.com/product/265480/fret-butter-for-guitar?subsiteid=68,DMI Guitar Labs,Fret Butter for Guitar,,,,,,
