,product_model,product_desc,category,sub_category,heading_text,product_url,sub_category_url,category_url
0,TSZ1210,ODYSSEY TSZ1210,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174213/248521,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
1,SWSPKBLK,ODYSSEY SWSPKBLK,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/189752/248942,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
2,XF-TTFW,PRO X XF-TTFW,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/217789/359151,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
3,SWSPKWHT,ODYSSEY SWSPKWHT,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/189751/248941,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
4,TT-HEADSHELL,AMER-DJ TT-HEADSHELL,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/171819/212884,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
5,SPATBL4BLK,ODYSSEY SPATBL4BLK,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174321/248218,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
6,T-LPS600B,PRO X T-LPS600B,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/201326/358165,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
7,SPATBL6BLK,ODYSSEY SPATBL6BLK,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/174320/249218,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
8,SPATBL4WHT,ODYSSEY SPATBL4WHT,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/192307/250101,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
9,DT-DJPRO/TBLO,GLOBAL TRS DT-DJPRO/TBLO,DJ,Accessories,Lighting / DJ,http://tmppro.com/products/view/191127/292041,http://tmppro.com/products/category/lighting_dj/dj/accessories,http://tmppro.com/products/group/lighting_dj/dj
